ID,Floor,Cell,Type,X,Y,Access
0,2,0,0,98,427,0
1,2,0,0,98,590,0
2,2,0,0,173,590,0
3,2,0,0,173,480,0
4,2,0,0,225,480,0
5,2,0,0,225,435,0
6,2,0,0,173,435,0
7,2,0,0,173,427,0
8,2,0,1,135,425,1
9,2,0,1,225,470,214
10,2,0,2,160,572,-100
11,2,1,0,99,290,1
12,2,1,0,99,420,1
13,2,1,0,175,290,1
14,2,1,0,175,420,1
15,2,1,1,135,425,0
16,2,1,1,175,310,2
17,2,2,0,180,290,2
18,2,2,0,180,330,2
19,2,2,0,875,330,2
20,2,2,0,875,350,2
21,2,2,0,903,350,2
22,2,2,0,903,280,2
23,2,2,0,875,280,2
24,2,2,0,975,290,2
25,2,2,1,886,280,3
26,2,2,1,886,350,217
27,2,2,1,838,330,216
28,2,2,1,718,330,216
29,2,2,1,688,330,215
30,2,2,1,521,330,215
31,2,2,1,481,330,214
32,2,2,1,175,310,1
33,2,3,0,875,204,3
34,2,3,0,875,270,3
35,2,3,0,897,270,3
36,2,3,0,897,257,3
37,2,3,0,1012,257,3
38,2,3,0,1012,204,3
39,2,3,1,886,272,2
40,2,3,2,997,224,-100
